2020-03-31 22:33:01.932548- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Western Sahara'), kwargs: {}, result: https://en.wikipedia.org/wiki/Western_Sahara
2020-03-31 22:33:02.842306- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Spain'), kwargs: {}, result: https://en.wikipedia.org/wiki/Spain
2020-03-31 22:33:03.509676- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Estonia'), kwargs: {}, result: https://en.wikipedia.org/wiki/Estonia
2020-03-31 22:33:04.063688- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Ethiopia'), kwargs: {}, result: https://en.wikipedia.org/wiki/Ethiopia
2020-03-31 22:33:04.735199- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Finland'), kwargs: {}, result: https://en.wikipedia.org/wiki/Finland
2020-03-31 22:33:05.322457- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Fiji'), kwargs: {}, result: https://en.wikipedia.org/wiki/Fiji
2020-03-31 22:33:06.530875- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Falkland Islands'), kwargs: {}, result: https://en.wikipedia.org/wiki/Falkland_Islands
2020-03-31 22:33:07.479919- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'France'), kwargs: {}, result: https://en.wikipedia.org/wiki/France
2020-03-31 22:33:08.317122- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Faroe Islands'), kwargs: {}, result: https://en.wikipedia.org/wiki/Faroe_Islands
2020-03-31 22:33:10.045459- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Micronesia'), kwargs: {}, result: https://en.wikipedia.org/wiki/Micronesia
2020-03-31 22:33:11.412074- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Gabon'), kwargs: {}, result: https://en.wikipedia.org/wiki/Gabon
2020-03-31 22:33:12.350207- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'United Kingdom'), kwargs: {}, result: https://en.wikipedia.org/wiki/United_Kingdom
2020-03-31 22:33:13.050476- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Georgia'), kwargs: {}, result: https://en.wikipedia.org/wiki/Georgia
2020-03-31 22:33:13.527906- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Guernsey'), kwargs: {}, result: https://en.wikipedia.org/wiki/Guernsey
2020-03-31 22:33:14.208956- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Ghana'), kwargs: {}, result: https://en.wikipedia.org/wiki/Ghana
